Well ,mTVDSS,WELL,mTVDSS,ANGLE_FAIL.DEG                  :  Fail Angle,BRIT_IND.                     :  Brittleness Index,CS   .M/MIN                 :  Compressive Strength,DTCO .US/F                 :  Compressional slowness,DTSM .US/F                 :  Fast Shear Slowness,IP   .RAYL/M2                 :  P Impedence,IS   .RAYL/M2                 :  S Impedance,KBULK.                     :  Bulk Mudulus,LAMRHO.                     :  ,MU   .CP                   :  Mu,PR   .                     :  Poisson's ratio,PRESS_OB.PSI                  :  Over-burden Pressure,PRESS_SHMAX.PSI                  :  Horizontal Stress (Max),PRESS_SHMIN.PSI                  :  Horizontal Stress (Min),PR_STAT.                     :  Poisson's ratio (Static),PZS  .PSI                  :  Processed Zone Stress,STRESS_CUM.PSI                  :  Cumulative stress (SHPZ),UCS_BF.PSI                  :  Uniaxial Compressive Strength (BF),VP   .FT/S                 :  Compressional velocity,VPVS .                     :  Vp / Vs ratio,VS   .FT/S                 :  Shear velocity,YM   .                     :  Youngs' Modulus,YM_STAT.                     :  Youngs' Modulus (Static),PRESS_PP.PSI                  :  Pore Pressure,Well Block Pressure (psi),Depletion_Type
106,,Raag-106,2971.878313,43.728,83.405,1387.386,55.645,96.32,13832.302,7991.135,25.192,63.616,25.288,0.25,10325.19,10510.116,6626.68,0.225,2039.117,10531.595,4273.615,17970.904,1.731,10382.07,9.166,6.616,5211.081,5178.055176,
106,,Raag-106,2974.701583,42.638,72.997,1335.485,58.626,104.23,13470.951,7576.998,25.721,66.645,22.157,0.269,10336.73,10514.432,6782.705,0.242,2749.561,12264.532,3694.238,17057.191,1.778,9594.148,8.154,5.644,5212.587,5146.148438,
106,,Raag-106,2977.524555,44.18,70.621,1409.434,54.441,101.747,14135.536,7563.382,33.826,85.404,22.657,0.299,10347.697,10512.568,7050.287,0.269,2677.847,12656.269,3911.371,18368.576,1.869,9828.319,8.54,6.008,5214.012,5146.950684,
106,,Raag-106,2980.348717,42.912,65.635,1348.339,57.868,108.342,13875.528,7411.336,31.383,82.674,20.851,0.3,10358.088,10522.855,7062.746,0.27,2769.621,12864.734,3535.561,17280.559,1.872,9230.065,7.865,5.378,5215.355,5147.512695,
106,,Raag-106,2983.173177,39.705,60.977,1204.324,67.173,118.155,11739.343,6673.951,18.835,48.729,17.216,0.261,10369.058,10550.842,6733.373,0.235,3046.788,12760.321,2724.954,14887,1.759,8463.431,6.299,4.018,5216.765,5148.803711,
106,,Raag-106,2985.997638,44.724,81.044,1436.474,53.011,99.981,16541.488,8770.431,41.635,119.78,26.737,0.304,10380.03,10543.43,7112.039,0.274,2931.194,13286.466,4851.098,18864.047,1.886,10001.87,10.117,7.585,5218.169,5150.096191,
106,,Raag-106,2988.822991,39.649,60.871,1201.964,67.341,118.257,11662.941,6641.415,18.553,47.807,17.118,0.26,10391.004,10573.927,6732.544,0.234,1948.279,10561.647,2704.456,14849.749,1.756,8456.13,6.257,3.983,5219.566,5103.480957,
106,,Raag-106,2991.648939,44.086,64.057,1404.835,54.689,107.293,14750.607,7518.64,39.492,104.52,21.359,0.324,10401.98,10556.832,7304.942,0.292,2469.8,12749.485,3723.411,18285.146,1.962,9320.255,8.206,5.693,5220.957,5106.438477,
106,,Raag-106,2994.475185,41.288,71.472,1273.632,62.465,107.476,12412.557,7214.102,19.65,49.985,20.459,0.245,10412.381,10601.924,6621.523,0.22,2502.82,11448.686,3279.782,16009.094,1.721,9304.386,7.388,4.949,5222.268,5113.897949,
106,,Raag-106,2997.301431,44.054,83.919,1403.271,54.774,97.909,15197.097,8501.821,31.633,86.39,26.467,0.272,10423.94,10602.625,6850.265,0.245,2900.996,12702.522,4635.127,18256.838,1.788,10213.555,9.767,7.223,5223.718,5119.560059,
106,,Raag-106,3000.128273,43.614,81.331,1381.861,55.953,99.356,14639.856,8244.533,29.165,78.381,25.292,0.268,10434.925,10615.824,6816.921,0.241,2656.22,12146.283,4353.975,17872.143,1.776,10064.817,9.301,6.751,5225.088,5129.224609,
106,,Raag-106,3002.956007,43.899,87.672,1395.686,55.188,96.569,15121.201,8641.541,28.963,79.298,27.275,0.258,10445.332,10630.728,6737.414,0.232,2706.435,12087.697,4746.813,18119.945,1.75,10355.279,9.949,7.41,5226.38,5135.816406,
106,,Raag-106,3005.784039,44.209,89.416,1410.864,54.364,96.079,15730.274,8900.592,31.722,89.001,28.236,0.265,10456.321,10639.141,6799.945,0.238,2829.191,12458.272,5001.768,18394.559,1.767,10408.112,10.357,7.838,5227.737,5137.258789,
106,,Raag-106,3008.612369,46.219,96.87,1513.427,49.21,90.99,17761.992,9606.154,45.658,130.932,32.179,0.293,10467.314,10637.988,7053.826,0.264,2580.068,12467.789,6136.49,20321.113,1.849,10990.195,12.072,9.742,5229.088,5137.534668,
106,,Raag-106,3011.441591,45.935,97.73,1498.491,49.918,91.308,17676.91,9663.961,43.416,125.689,32.26,0.287,10478.308,10652.14,7001.662,0.258,2811.716,12826.754,6115.852,20032.856,1.829,10951.955,12.042,9.707,5230.431,5136.320313,
106,,Raag-106,3014.270516,46.08,94.647,1506.111,49.555,92.558,17904.932,9586.193,46.993,136.796,31.568,0.299,10489.304,10658.01,7115.176,0.269,2778.005,12986.363,6015.217,20179.6,1.868,10804.036,11.896,9.539,5231.769,5137.610352,
106,,Raag-106,3017.100037,46.28,97.986,1516.677,49.058,90.679,17920.396,9695.018,46.165,133.154,32.588,0.293,10500.303,10671.982,7066.696,0.264,2751.429,12836.249,6241.83,20384.203,1.848,11027.947,12.224,9.919,5233.098,5195.723145,
106,,Raag-106,3019.93045,45.936,94.688,1498.574,49.914,91.577,17192.432,9370.727,42.608,119.959,31.189,0.289,10511.304,10685.306,7031.252,0.26,3012.758,13288.019,5853.766,20034.459,1.835,10919.772,11.659,9.268,5234.421,5197.285156,
106,,Raag-106,3022.761459,45.392,90.93,1470.369,51.289,94.485,17061.902,9261.685,41.64,119.551,29.877,0.291,10521.727,10694.979,7056.67,0.262,2903.293,13119.927,5539.795,19497.244,1.842,10583.657,11.19,8.741,5235.669,5198.599121,
