Frac Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Petrophysical Details,,,,,,,Depth Details,,,,,,,,First PLT Details,,,,,,,,,,,,Second PLT Details,,,,,,,,,,,PLT Details (2021-22),,,,,,,,,,
Campaign,Well,Pad,Stage,Date of Frac,Formation,No. of Clusters,Total Holes,Max Injection Rate,Pre-Frac BH ISIP Grad,MF BH ISIP Grad,Design Proppant ,100 Mesh,40-70,20-40,16-30,Actual Proppant,Max PPA,Clean Volume,Slurry Volume,Total XL Fluid,Max HHP,Frac Pumped,Refrac,SRT,SDT,DFIT / MFO,MinFrac / Datafrac,Temp Survey,DFIT Signature (PDL/HR/Normal/Other),Transmissibility (if ACA for DFIT done),Flush called @ PPA,Remarks,Net Pay (m),Net Pay fraction (%),Stage Kh (mDM),Stage Kh fraction (%),Stage Permeability (MD),Proppant per Net pay (Actual),Remarks_2,Top of Topmost clstr (mMD),Bot of Botmost clstr (mMD),Spread of Stage,Top of Topmost clstr (mTVD),Bot of Botmost clstr (mTVD),Topmost Cluster (mTVDSS),Topmost Cluster (Northing),Topmost Cluster (Easting),Date of PLT/FGS,Water (bpd),Water Contri (%),Oil (bpd),Oil Contri (%),Gas (MSCFD),Gas Contri (%),BHP (psia),Reservoir Pressure (psia),Gas PI (SCFD/psi),No. of Contributing Clusters (during 1st PLT),First PLT Remark,Date of PLT/FGS_2,Water_2 (bpd),Water Contri_2 (%),Oil_2 (bpd),Oil Contri_2 (%),Gas_2 (MSCFD),Gas Contri_2 (%),BHP_2 (psia),Reservoir Pressure_2 (psia),Gas PI_2 (SCFD/psi),Secod PLT Remark,Date of PLT/FGS_3,Water_3 (bpd),Water Contri_3 (%),Oil_3 (bpd),Oil Contri_3 (%),Gas_3 (MSCFD),Gas Contri_3 (%),BHP_3 (psia),Reservoir Pressure_3 (psia),Gas PI_3 (SCFD/psi),PLT (2021-22) Remark
42-W_North,Raag-66z,7,4,26/Jul/2020,Felsic,4,30,30.6,0.91,1.05,"300,000",0,,"163,810 ","138,363 ","302,173 ",8.8,2841,3143,,"6,039 ",Yes,No,Yes,Yes,No,No,Yes,,,4.5,,46.0,15%,4.0,8%,0.087,"6,567",,3090.0,3225.5,135.5,2994.5,3130.0,2930.7,838956.4,2517184.9,19-Sep-20,21.5,3.48%,82.0,17.60%,902.1,17.74%,3702,5148,623.9,2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5148,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5148,#DIV/0!,
42-W_North,Raag-66z,7,3,24/Jul/2020,Felsic,3,30,30.2,0.72,0.78,"300,000",0,,"162,690 ","139,467 ","302,157 ",8.4,2719,3021,,"5,447 ",Yes,No,Yes,Yes,No,No,No,,,7.3,,39.5,13%,3.5,7%,0.088,"7,658",,3319.4,3389.0,69.6,3223.9,3293.5,3160.1,838955.1,2517184.2,19-Sep-20,215.8,34.90%,38.1,8.18%,419.5,8.25%,3823,5240,296.1,1,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5240,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5240,#DIV/0!,
42-W_North,Raag-66z,7,2,22/Jul/2020,Felsic,4,30,30.5,0.76,0.82,"300,000",0,,"162,034 ","139,581 ","301,615 ",8.2,2702,3003,,"5,202 ",Yes,No,Yes,Yes,No,No,Yes,,,5.2,,38.4,12%,3.4,7%,0.088,"7,855",,3413.2,3462.6,49.4,3317.7,3367.1,3253.9,838955.0,2517184.2,19-Sep-20,60.0,9.70%,89.3,19.17%,991.2,19.49%,3878,5277,708.5,3,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5277,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5277,#DIV/0!,
42-W_North,Raag-66z,7,1,21/Jul/2020,Felsic,3,28,15.7,0.82,1.16,"300,000",0,,"163,052 ","141,237 ","304,289 ",8.3,2831,3135,,"3,321 ",Yes,No,Yes,Yes,No,No,No,,,6.6,,26.0,8%,2.4,5%,0.093,"11,722",,3498.0,3545.8,47.8,3402.5,3450.3,3338.7,838955.1,2517184.2,19-Sep-20,225.9,36.53%,11.2,2.40%,117.9,2.32%,3972,5311,88.1,3,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5311,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5311,#DIV/0!,
42-W_North,Raag-67,7,8,22/Sep/2020,Fatehgarh,3,32,30.5,0.89,0.99,"200,000",0,,"106,158 ","93,835 ","199,993 ",6.4,2278,2477,,"5,755 ",Yes,No,Yes,Yes,No,No,No,,,3.2,,19.9,8%,3.7,15%,0.184,"10,045",,2942.4,2961.4,19.0,2742.8,2761.6,2679.0,838406.7,2517684.7,12-Oct-20,124.2,20.39%,27.8,12.31%,726.6,12.87%,2842,5047,329.5,3,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5047,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5047,#DIV/0!,
42-W_North,Raag-67,7,7,20/Sep/2020,Basalt,3,30,30.2,0.85,0.97,"320,000",0,,"112,241 ","206,931 ","319,172 ",8.3,2699,3159,,"5,733 ",Yes,No,Yes,Yes,No,No,Yes,,,3.6,,33.2,14%,3.6,14%,0.108,"9,621",,2982.0,3007.0,25.0,2782.0,2806.8,2718.2,838412.2,2517682.6,12-Oct-20,126.9,20.83%,54.8,24.26%,1339.1,23.71%,2858,5063,607.2,3,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5063,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5063,#DIV/0!,
42-W_North,Raag-67,7,6,18/Sep/2020,Basalt,4,32,32.2,0.85,0.84,"270,000",0,,"115,129 ","156,429 ","271,558 ",7.3,2650,2919,,"5,604 ",Yes,No,Yes,Yes,No,No,No,,,6.7,,30.3,12%,3.5,14%,0.107,"8,962",,3053.6,3148.0,94.4,2853.3,2947.3,2789.5,838424.4,2517683.1,12-Oct-20,46.7,7.67%,24.3,10.76%,588.9,10.43%,2888,5091,267.3,4,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5091,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5091,#DIV/0!,
42-W_North,Raag-67,7,5,12/Sep/2020,Basalt + Felsic,5,62,30.4,0.79,0.84,"320,000",0,,"79,641 ",1 ,"79,642 ",4.1,1976,2059,,"5,071 ",Yes,Yes,Yes,Yes,No,No,No,,,3.9,,31.0,13%,3.4,13%,0.108,"2,569",,3213.8,3247.0,33.2,3012.5,3045.7,2948.8,838434.3,2517683.0,12-Oct-20,34.9,5.73%,40.5,17.93%,955.9,16.93%,2957,5155,434.9,3,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5155,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5155,#DIV/0!,
42-W_North,Raag-67,7,4,31/Aug/2020,Felsic,4,32,30.1,0.72,0.82,"320,000",0,,"129,824 ","189,598 ","319,422 ",8.2,2926,3241,,"5,552 ",Yes,No,Yes,Yes,No,No,Yes,,,4.4,,58.7,24%,4.8,19%,0.081,"5,439",,3273.2,3317.6,44.4,3071.9,3116.3,3008.1,838434.6,2517682.9,12-Oct-20,206.8,33.95%,57.5,25.45%,1517.6,26.87%,2985,5179,691.8,2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5179,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5179,#DIV/0!,
42-W_North,Raag-67,7,3,29/Aug/2020,Felsic,2,30,28.1,0.84,1.06,"150,000",0,,"117,527 ","52,153 ","169,680 ",5.2,2365,2537,,"5,771 ",Yes,No,Yes,Yes,No,No,No,,,3.9,,22.3,9%,1.2,5%,0.053,"7,606",,3357.5,3445.5,88.0,3156.2,3244.2,3092.4,838434.4,2517682.9,12-Oct-20,12.4,2.04%,9.1,4.03%,232.7,4.12%,3058,5212,108.0,2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5212,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5212,#DIV/0!,
42-W_North,Raag-67,7,2,28/Aug/2020,Felsic,3,32,24.7,0.95,1.14,"250,000",0,,"128,522 ","120,928 ","249,450 ",7.3,2797,3046,,"5,198 ",Yes,No,Yes,Yes,No,No,No,,,5.6,,23.0,9%,2.3,9%,0.099,"10,824",,3476.6,3555.2,78.6,3275.3,3353.9,3211.5,838434.1,2517682.5,12-Oct-20,18.7,3.07%,4.2,1.86%,103.5,1.83%,3183,5260,49.8,2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5260,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5260,#DIV/0!,
42-W_North,Raag-67,7,1,27/Aug/2020,Felsic,3,30,30.2,0.69,0.82,"250,000",0,,"148,838 ","106,007 ","254,845 ",7.5,2573,2828,,"5,245 ",Yes,No,Yes,Yes,No,No,No,,,5.1,,27.0,11%,2.9,12%,0.107,"9,456",,3625.0,3655.6,30.6,3423.7,3454.3,3359.9,838432.7,2517682.2,12-Oct-20,38.5,6.32%,7.7,3.41%,183.0,3.24%,3351,5319,92.9,3,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5319,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5319,#DIV/0!,
42-W_North,Raag-68,5,7,13/Apr/2020,Fatehgarh,3,30,30.2,0.75,0.91,"300,000",0,,"123,655 ","179,372 ","303,027 ",8.1,2716,3015,,"4,822 ",Yes,No,Yes,Yes,No,No,No,,,5.4,,34.7,17%,34.6,55%,1.022,"8,724",,2964.0,3010.0,46.0,2834.2,2880.2,2774.4,836099.2,2517456.3,22-Jun-20,77.9,17.05%,36.7,12.93%,557.4,8.05%,3473,5084,346.0,2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5084,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5084,#DIV/0!,
42-W_North,Raag-68,5,6,12/Apr/2020,Basalt + Fatehgarh,2,30,30.2,0.74,0.85,"130,000",0,,"71,688 ","59,745 ","131,433 ",6.1,1863,1994,,"4,621 ",Yes,No,Yes,Yes,No,No,No,,,4.2,,14.3,7%,3.2,5%,0.238,"9,185",,3031.6,3064.3,32.7,2901.8,2934.5,2842.0,836099.2,2517456.2,22-Jun-20,65.2,14.27%,32.2,11.35%,515.6,7.45%,3502,5111,320.4,2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5111,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5111,#DIV/0!,
42-W_North,Raag-68,5,5,11/Apr/2020,Basalt,2,30,30.1,0.77,0.82,"250,000",0,,"109,554 ","142,766 ","252,320 ",7.1,2481,2730,,"5,149 ",Yes,No,Yes,Yes,No,No,No,,,5.2,,30.2,14%,5.9,9%,0.201,"8,355",,3158.6,3186.5,27.9,3028.8,3056.7,2969.0,836099.3,2517456.1,22-Jun-20,197.3,43.17%,116.2,40.94%,3452.3,49.87%,3555,5162,2149.3,2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5162,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5162,#DIV/0!,
42-W_North,Raag-68,5,4,10/Apr/2020,Basalt,4,32,30.2,0.77,0.78,"300,000",0,,"122,468 ","173,289 ","295,757 ",8.2,2792,3084,,"5,271 ",Yes,No,Yes,Yes,No,No,Yes,,,5.3,,44.2,21%,8.6,14%,0.198,"6,685",,3213.2,3258.8,45.6,3083.4,3129.0,3023.6,836099.3,2517456.0,22-Jun-20,38.1,8.34%,25.6,9.02%,406.0,5.86%,3582,5183,253.6,3,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5183,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5183,#DIV/0!,
42-W_North,Raag-68,5,3,09/Apr/2020,Felsic,4,32,28.2,0.81,0.86,"300,000",0,,"161,016 ","141,821 ","302,837 ",8.5,2712,3014,,"5,506 ",Yes,No,Yes,Yes,No,No,Yes,,,4.0,,47.1,22%,5.9,9%,0.133,"6,426",,3281.2,3353.6,72.4,3151.4,3223.8,3091.6,836099.5,2517456.0,22-Jun-20,30.2,6.61%,46.2,16.28%,1616.6,23.35%,3616,5211,1013.9,3,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5211,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5211,#DIV/0!,
42-W_North,Raag-68,5,2,08/Apr/2020,Felsic,2,30,17.8,0.90,1.03,"120,000",0,,"15,140 ",0 ,"15,140 ",1.4,1170,1186,,"3,681 ",Yes,No,Yes,Yes,No,No,No,,,0.1,,14.5,7%,2.3,4%,0.175,"1,047",,3501.0,3516.5,15.5,3371.2,3386.7,3311.4,836099.4,2517456.0,22-Jun-20,11.4,2.49%,11.6,4.09%,153.7,2.22%,3793,5298,102.1,1,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5298,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5298,#DIV/0!,
42-W_North,Raag-68,5,1,07/Apr/2020,Felsic,2,30,15.5,0.78,0.96,"200,000",0,,"107,938 ","92,691 ","200,628 ",6.2,2448,2648,,"3,201 ",Yes,No,Yes,Yes,No,No,No,,,4.5,,24.4,12%,2.6,4%,0.110,"8,228",,3544.0,3566.5,22.5,3414.2,3436.7,3354.4,836099.4,2517456.0,22-Jun-20,36.9,8.07%,15.3,5.39%,221.3,3.20%,3832,5316,149.2,1,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5316,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5316,#DIV/0!,
42-W_North,Raag-69,5,6,08/May/2020,Fatehgarh,4,32,30.2,0.81,0.84,"300,000",0,,"173,940 ","132,670 ","306,610 ",8.3,2814,3120,,"5,342 ",Yes,No,Yes,Yes,No,No,Yes,,,7.0,,39.1,20%,6.8,18%,0.174,"7,843",,3054.8,3093.2,38.4,2908.1,2946.5,2848.2,835128.8,2518436.2,02-Aug-20,35.6,12.42%,65.3,19.60%,991.7,18.77%,2101,5113,329.2,4,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5113,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5113,#DIV/0!,
42-W_North,Raag-69,5,5,07/May/2020,Fatehgarh,4,30,30.0,-,0.79,"250,000",0,,"163,000 ","91,805 ","254,805 ",7.0,DAQ failed,2882,,,Yes,Yes,Yes,Yes,No,No,No,,,-,,30.8,16%,7.7,20%,0.250,"8,277",,3114.6,3151.2,36.6,2967.9,3004.5,2908.0,835128.7,2518436.1,02-Aug-20,11.9,4.15%,203.6,61.10%,3061.9,57.96%,2118,5137,1014.2,4,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5137,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5137,#DIV/0!,
42-W_North,Raag-69,5,4,21/Apr/2020,Basalt,3,30,30.4,0.85,0.94,"200,000",0,,"166,555 ","36,234 ","202,789 ",6.3,2415,2623,,"6,265 ",Yes,No,Yes,Yes,No,No,No,,,5.0,,23.0,12%,4.2,11%,0.180,"8,799",,3181.5,3213.0,31.5,3034.8,3066.3,2974.9,835128.8,2518436.1,02-Aug-20,50.3,17.55%,26.2,7.86%,406.7,7.70%,2146,5164,134.8,3,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5164,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5164,#DIV/0!,
42-W_North,Raag-69,5,3,20/Apr/2020,Basalt,2,30,20.9,0.86,0.89,"200,000",0,,"146,611 ","10,771 ","157,382 ",6.3,2285,2447,,"4,122 ",Yes,No,Yes,Yes,No,No,No,,,5.0,,22.3,12%,4.7,12%,0.209,"7,045",,3233.2,3250.0,16.8,3086.5,3103.3,3026.6,835128.7,2518436.0,02-Aug-20,0.0,0.00%,10.9,3.27%,158.2,2.99%,2172,5185,52.5,1,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5185,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5185,#DIV/0!,
42-W_North,Raag-69,5,2,19/Apr/2020,Basalt,3,30,28.7,0.82,0.84,"300,000",0,,"173,943 ","128,826 ","302,769 ",8.1,2812,3115,,"5,410 ",Yes,No,Yes,Yes,No,No,Yes,,,4.5,,49.8,26%,10.3,27%,0.206,"6,078",,3276.0,3303.4,27.4,3129.3,3156.7,3069.4,835128.7,2518436.1,02-Aug-20,187.7,65.49%,27.1,8.13%,363.7,6.88%,2202,5202,121.2,3,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5202,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5202,#DIV/0!,
42-W_North,Raag-69,5,1,18/Apr/2020,Basalt,4,28,21.5,0.82,0.84,"250,000",0,,"188,473 ","62,432 ","250,905 ",7.4,2462,2717,,"4,215 ",Yes,No,Yes,Yes,No,No,No,,,6.0,,28.4,15%,4.9,13%,0.173,"8,848",,3334.4,3384.3,49.9,3187.7,3237.6,3127.8,835128.9,2518436.0,02-Aug-20,1.1,0.38%,0.1,0.03%,300.3,5.68%,2244,5225,100.7,2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5225,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5225,#DIV/0!,
42-W_North,Raag-70,5,7,05/Apr/2020,Fatehgarh,3,30,27.9,0.89,0.95,"210,000",0,,"72,409 ","140,211 ","212,621 ",7.1,2342,2551,,"5,569 ",Yes,No,Yes,Yes,No,No,No,,,6.5,,20.8,11%,2.8,12%,0.134,"10,212",,3000.5,3023.2,22.7,2935.3,2958.0,2875.4,835043.5,2517952.6,03-Jul-20,81.4,7.70%,39.4,14.53%,196.2,15.09%,2781,5124,83.7,3,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5124,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5124,#DIV/0!,
42-W_North,Raag-70,5,6,04/Apr/2020,Fatehgarh,3,30,22.4,0.89,0.99,"150,000",0,,"75,826 ","77,986 ","153,812 ",6.1,2061,2214,,"5,131 ",Yes,No,Yes,Yes,No,No,No,,,4.3,,16.5,9%,2.6,11%,0.162,"9,305",,3039.0,3062.0,23.0,2973.8,2996.8,2913.9,835043.5,2517952.4,03-Jul-20,92.4,8.75%,37.0,13.64%,188.6,14.51%,2807,5140,80.9,3,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5140,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5140,#DIV/0!,
42-W_North,Raag-70,5,5,03/Apr/2020,Basalt + Fatehgarh,2,30,28.1,0.79,0.86,"300,000",0,,"137,101 ","165,367 ","302,468 ",8.1,2770,3070,,"5,104 ",Yes,No,Yes,Yes,No,No,No,,,4.0,,39.0,20%,5.1,22%,0.132,"7,754",,3086.5,3177.0,90.5,3021.3,3111.8,2961.4,835043.5,2517952.4,03-Jul-20,62.0,5.87%,110.9,40.89%,545.3,41.95%,2842,5159,235.4,2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5159,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5159,#DIV/0!,
42-W_North,Raag-70,5,4,01/Apr/2020,Basalt,4,32,22.4,0.89,0.99,"150,000",0,,"75,826 ","77,986 ","153,812 ",6.1,2061,2214,,"4,508 ",Yes,No,Yes,Yes,No,No,No,,,4.9,,18.9,10%,2.6,11%,0.140,"8,138",,3246.4,3291.5,45.1,3181.2,3226.3,3121.3,835043.1,2517952.3,03-Jul-20,45.3,4.29%,39.5,14.56%,178.1,13.70%,2974,5222,79.2,3,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5222,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5222,#DIV/0!,
42-W_North,Raag-70,5,3,31/Mar/2020,Basalt,4,32,30.1,0.79,0.95,"300,000",0,,"171,581 ","130,714 ","302,295 ",8.1,2788,3090,,"5,655 ",Yes,No,Yes,Yes,No,No,Yes,,,4.0,,36.0,19%,4.7,20%,0.134,"8,400",,3310.4,3350.0,39.6,3245.2,3284.8,3185.3,835043.0,2517952.2,03-Jul-20,182.4,17.26%,31.4,11.58%,135.1,10.39%,3036,5248,61.1,4,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5248,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5248,#DIV/0!,
42-W_North,Raag-70,5,2,24/Mar/2020,Basalt,4,30,31.2,0.74,0.77,"220,000",0,,"152,681 ","68,656 ","221,338 ",7.1,2336,2559,,"5,686 ",Yes,No,Yes,Yes,No,No,Yes,,,5.5,,22.3,12%,3.1,13%,0.142,"9,925",,3376.2,3435.8,59.6,3311.0,3370.6,3251.1,835043.0,2517952.4,03-Jul-20,190.9,18.07%,8.1,2.99%,37.7,2.90%,3105,5274,17.4,2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5274,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5274,#DIV/0!,
42-W_North,Raag-70,5,1,23/Mar/2020,Felsic,2,30,30.1,0.71,0.86,"300,000",0,,"182,558 ",0 ,"182,558 ",6.3,2461,2650,,"5,702 ",Yes,No,Yes,Yes,No,No,No,,,5.1,,39.4,20%,2.4,10%,0.061,"4,633",,3479.0,3503.0,24.0,3413.8,3437.8,3353.9,835042.8,2517952.4,03-Jul-20,402.2,38.07%,4.9,1.81%,18.9,1.45%,3222,5316,9.0,2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5316,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5316,#DIV/0!,
42-W_North,Raag-71,5,6,21/Mar/2020,Fatehgarh,2,30,30.2,0.83,0.88,"202,000",0,,"150,538 ","124,842 ","275,380 ",8.1,2516,2790,,"4,792 ",Yes,No,Yes,Yes,No,No,No,,,5.3,,30.1,15%,6.1,18%,,"9,137",,2917.3,2931.2,13.9,2872.4,2886.3,2812.5,835368.7,2518048.3,11-Jul-20,11.4,1.53%,29.7,10.69%,773.7,24.98%,2418,5099,288.6,2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5099,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5099,#DIV/0!,
42-W_North,Raag-71,5,5,21/Mar/2020,Basalt + Fatehgarh,2,30,26.6,0.79,0.81,"202,000",0,,"150,316 ","52,854 ","203,170 ",6.2,2317,2523,,"5,211 ",Yes,No,Yes,Yes,No,No,No,,,1.5,,24.5,12%,4.9,15%,0.202,"8,292",,2975.0,2986.3,11.3,2930.1,2941.4,2870.2,835368.8,2518048.2,11-Jul-20,18.1,2.43%,66.0,23.76%,1061.1,34.26%,2445,5122,396.3,2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5122,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5122,#DIV/0!,
42-W_North,Raag-71,5,4,19/Mar/2020,Basalt,4,30,29.9,0.79,0.84,"250,000",0,,"157,527 ","94,809 ","252,336 ",7.1,2598,2851,,"5,388 ",Yes,No,Yes,Yes,No,No,No,,,3.9,,27.9,14%,7.1,21%,0.255,"9,054",,3034.0,3076.6,42.6,2989.1,3031.7,2929.2,835368.9,2518048.1,11-Jul-20,183.0,24.60%,89.5,32.22%,609.7,19.69%,2473,5146,228.1,4,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5146,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5146,#DIV/0!,
42-W_North,Raag-71,5,3,18/Mar/2020,Felsic,3,30,25.9,0.78,0.81,"250,000",0,,"151,600 ","101,433 ","253,033 ",7.1,2554,2808,,"4,750 ",Yes,No,Yes,Yes,No,No,Yes,,,3.7,,25.4,13%,4.9,15%,0.192,"9,946",,3138.8,3225.2,86.4,3093.9,3180.3,3034.0,835369.1,2518048.0,11-Jul-20,60.7,8.16%,28.6,10.30%,192.8,6.23%,2539,5188,72.8,2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5188,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5188,#DIV/0!,
42-W_North,Raag-71,5,2,17/Mar/2020,Felsic,6,140,26.8,0.86,0.97,"300,000",0,,"281,069 ",0 ,"281,069 ",6.5,4521,4813,,"5,283 ",Yes,Yes,Yes,Yes,No,No,Yes,,,4.0,,46.5,24%,9.3,28%,0.201,"6,041",,3270.1,3363.0,92.9,3225.2,3318.1,3165.3,835369.0,2518048.2,11-Jul-20,170.3,22.89%,58.3,20.99%,418.6,13.52%,2631,5240,160.5,2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5240,#DIV/0!,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5240,#DIV/0!,
