Frac Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Petrophysical Details,,,,,,,Depth Details,,,,,,,,First PLT Details,,,,,,,,,,,,Second PLT Details,,,,,,,,,,,PLT Details (2021-22),,,,,,,,,,
Campaign,Well,Pad,Stage,Date of Frac,Formation,No. of Clusters,Total Holes,Max Injection Rate,Pre-Frac BH ISIP Grad,MF BH ISIP Grad,Design Proppant ,100 Mesh,40-70,20-40,16-30,Actual Proppant,Max PPA,Clean Volume,Slurry Volume,Total XL Fluid,Max HHP,Frac Pumped,Refrac,SRT,SDT,DFIT / MFO,MinFrac / Datafrac,Temp Survey,DFIT Signature (PDL/HR/Normal/Other),Transmissibility (if ACA for DFIT done),Flush called @ PPA,Remarks,Net Pay (m),Net Pay fraction (%),Stage Kh (mDM),Stage Kh fraction (%),Stage Permeability (MD),Proppant per Net pay (Actual),Remarks_2,Top of Topmost clstr (mMD),Bot of Botmost clstr (mMD),Spread of Stage,Top of Topmost clstr (mTVD),Bot of Botmost clstr (mTVD),Topmost Cluster (mTVDSS),Topmost Cluster (Northing),Topmost Cluster (Easting),Date of PLT/FGS,Water (bpd),Water Contri (%),Oil (bpd),Oil Contri (%),Gas (MSCFD),Gas Contri (%),BHP (psia),Reservoir Pressure (psia),Gas PI (SCFD/psi),No. of Contributing Clusters (during 1st PLT),First PLT Remark,Date of PLT/FGS_2,Water_2 (bpd),Water Contri_2 (%),Oil_2 (bpd),Oil Contri_2 (%),Gas_2 (MSCFD),Gas Contri_2 (%),BHP_2 (psia),Reservoir Pressure_2 (psia),Gas PI_2 (SCFD/psi),Secod PLT Remark,Date of PLT/FGS_3,Water_3 (bpd),Water Contri_3 (%),Oil_3 (bpd),Oil Contri_3 (%),Gas_3 (MSCFD),Gas Contri_3 (%),BHP_3 (psia),Reservoir Pressure_3 (psia),Gas PI_3 (SCFD/psi),PLT (2021-22) Remark
15-W,Raag-23,1,2,17/Feb/2016,Basalt,4,58,15.5,N/A,1.19,"160,000","7,326",,"161,353 ",0 ,"168,000 ",7.7,1853,2017,,,Yes,Yes,No,No,No,No,No,,,,"Refracced due to high pressures; Max ppa-2 in A-1, New Perfs were added, 21 klbs prop pumped in A-1",19.2,13%,2.6,10%,0.138,"8,768",,3224.2,3295.0,70.8,3160.7,3230.2,3100.8,836652.7,2519463.1,15-Jul-16,147.0,42.50%,6.7,1.59%,33.4,0.65%,4015,5214,27.9,3,,23-Sep-17,28.4,100.00%,16.7,4.53%,241.7,4.22%,4076,5214,212.4,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5214,#DIV/0!,
15-W,Raag-23,1,1,08/Feb/2016,Basalt,4,28,22.0,0.93,S/O,"246,700",0,,"103,839 ",0 ,"103,839 ",5.2,1666,1745,,,Yes,No,Yes,Yes,Yes,No,No,,,,SRT was pumped with LG and X-linked fluid,19.7,14%,2.4,9%,0.123,"5,276",,3307.5,3336.0,28.5,3242.5,3270.5,3182.6,836656.1,2519469.9,15-Jul-16,29.2,8.45%,0.9,0.21%,11.8,0.23%,4126,5247,10.5,1,,23-Sep-17,0.0,0.00%,0.0,0.00%,0.0,0.00%,4179,5247,0.0,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5247,#DIV/0!,
5-W,Raag-24,1,6,09/Aug/2015,Basalt,4,24,34.1,1.06,1.20,"264,339","10,389",,"197,910 ","32,852 ","241,151 ",7.7,2308,2522,,,Yes,No,No,No,Yes,No,,,,,,29.6,14%,6.2,15%,0.209,"8,161",,2839.0,2889.5,50.5,2753.3,2802.3,2693.5,837114.8,2518830.2,24-Dec-15,0.0,#DIV/0!,377.9,51.54%,4945.1,52.18%,4675,5051,13133.4,2,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5051,#DIV/0!,,6-May-21,0.0,0.00%,85.7,30.93%,1661.5,25.16%,2529,5051,658.6,
5-W,Raag-24,1,5,06/Aug/2015,Basalt,4,24,36.0,0.84,1.16,"261,591","11,000",,"188,800 ","57,341 ","257,141 ",7.6,2125,2354,,,Yes,No,No,No,No,Yes,,,,,,45.3,22%,11.0,27%,0.244,"5,680",,2908.5,2971.5,63.0,2820.8,2881.7,2760.9,837134.4,2518825.9,24-Dec-15,0.0,#DIV/0!,225.8,30.79%,2926.4,30.88%,4704,5078,7812.0,5,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5078,#DIV/0!,,6-May-21,9.4,25.05%,95.4,34.42%,2363.5,35.79%,2549,5078,934.5,
5-W,Raag-24,1,4,30/Jul/2015,Basalt,4,24,32.1,NA,1.09,"261,087","8,771",,"191,429 ","75,096 ","275,796 ",7.8,2251,2496,,,Yes,No,No,No,No,No,,,,,,38.0,18%,7.6,18%,0.199,"7,254",,3002.5,3070.5,68.0,2911.7,2977.4,2851.8,837158.4,2518818.3,24-Dec-15,0.0,#DIV/0!,47.9,6.53%,628.9,6.64%,4743,5115,1693.4,3,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5115,#DIV/0!,,6-May-21,9.4,25.05%,31.6,11.39%,454.2,6.88%,2584,5115,179.5,
5-W,Raag-24,1,3,22/Jul/2015,Basalt,4,24,31.6,0.92,0.99,"307,374","9,918",,"245,732 ","59,671 ","315,321 ",8.7,2736,3020,,,Yes,No,No,No,No,Yes,,,,,,30.1,15%,4.4,11%,0.147,"10,486",,3125.0,3185.5,60.5,3030.2,3088.5,2970.3,837186.2,2518808.3,24-Dec-15,0.0,#DIV/0!,81.0,11.04%,971.5,10.25%,4810,5162,2756.4,3,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5162,#DIV/0!,,6-May-21,0.0,0.00%,54.9,19.80%,1824.7,27.63%,2646,5162,725.3,
5-W,Raag-24,1,2,17/Jul/2015,Basalt,4,24,35.8,0.76,0.79,"307,380","15,400",,"244,800 ","57,600 ","302,654 ",8.8,2690,2959,,,Yes,No,No,No,No,Yes,,,,,,42.7,21%,7.2,17%,0.169,"7,085",,3245.0,3296.0,51.0,3145.7,3194.7,3085.8,837214.3,2518795.9,24-Dec-15,0.0,#DIV/0!,0.8,0.11%,5.5,0.06%,4907,5208,18.2,0,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5208,#DIV/0!,,6-May-21,18.7,49.89%,9.6,3.46%,300.4,4.55%,2771,5208,123.2,
5-W,Raag-24,1,1,12/Jul/2015,Basalt ,2,196,30.0,0.86,,"306,600","12,029",,"216,303 ",,"228,333 ",7.4,2652,2855,,,Yes,No,No,No,Yes,Yes,,PDL,,,,21.1,10%,4.9,12%,0.232,"10,821",,3365.0,3401.4,36.4,3290.9,3295.7,3231.0,837241.0,2518779.5,24-Dec-15,0.0,#DIV/0!,0.0,0.00%,0.0,0.00%,5091,5266,0.0,0,,,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,#DIV/0!,5266,#DIV/0!,,6-May-21,0.0,0.00%,0.0,0.00%,0.0,0.00%,#DIV/0!,5266,#DIV/0!,
15-W,Raag-25,1,7,15/Mar/2016,Basalt,5,30,22.1,N/A,0.91,"350,000","6,816",,"103,714 ","138,372 ","247,674 ",7.8,1997,2196,,,Yes,No,No,No,No,No,No,,,,Flush Was called early as X-linker got Finished.LAS Flowmeter error. No Temp Log - Shallow tag. ,47.2,20%,6.4,19%,0.135,"5,243",,2744.0,2840.2,96.2,2731.1,2827.3,2671.2,836561.7,2518818.4,30-Sep-16,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,4100,5042,0.0,0,,02-Mar-17,0.0,#DIV/0!,95.9,21.56%,1336.9,23.09%,4546,5042,2690.3,,10-May-21,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,1757,5042,0.0,
15-W,Raag-25,1,6,12/Mar/2016,Basalt,3,15,22.1,N/A,1.16,"248,010","6,816",,"103,714 ","138,372 ","247,674 ",7.8,1997,2196,,,Yes,No,No,No,No,Yes,Yes,,,,Post MiniFrac Temp Survey,27.8,12%,3.2,9%,0.114,"8,900",,2867.5,2899.0,31.5,2854.5,2886.0,2794.7,836560.2,2518815.6,30-Sep-16,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,4140,5092,0.0,0,,02-Mar-17,0.0,#DIV/0!,59.2,13.32%,799.7,13.81%,4593,5092,1602.5,,10-May-21,0.0,#DIV/0!,0.0,#DIV/0!,0.0,#DIV/0!,1774,5092,0.0,
