Well ,mTVDSS,Northing,Easting,ANGLE_FAIL.DEG                  :  Fail Angle,BRIT_IND.                     :  Brittleness Index,BRIT_PR.                     :  Brittleness Index from Poisson's Ratio,BRIT_YM.                     :  Brittleness Index from Young's Modulus,CS   .M/MIN                 :  Compressive Strength,DTCO .US/F                 :  Compressional slowness,DTSM .US/F                 :  Fast Shear Slowness,IP   .RAYL/M2                 :  P Impedence,IS   .RAYL/M2                 :  S Impedance,KBULK.                     :  Bulk Mudulus,LAMBDA.                     :  Lambda,LAMRHO.                     :  ,MU   .CP                   :  Mu,PR   .                     :  Poisson's ratio,PRESS_OB.PSI                  :  Over-burden Pressure,PRESS_SHMAX.PSI                  :  Horizontal Stress (Max),PRESS_SHMIN.PSI                  :  Horizontal Stress (Min),PR_STAT.                     :  Poisson's ratio (Static),PZS  .PSI                  :  Processed Zone Stress,SHMAX_GRAD.                     :  Horizontal Stress Gradient (Max),SHMIN_GRAD.                     :  Horizontal Stress Gradient (Min),STRESS_CUM.PSI                  :  Cumulative stress (SHPZ),UCS_BF.PSI                  :  Uniaxial Compressive Strength (BF),UCS_LAL.PSI                  :  Uniaxial Compressive Strength (lal),VP   .FT/S                 :  Compressional velocity,VPVS .                     :  Vp / Vs ratio,VS   .FT/S                 :  Shear velocity,YM   .                     :  Youngs' Modulus,YM_STAT.                     :  Youngs' Modulus (Static),Difference[PP-PWELL]
105,3004.518107,839184.6231,2516794.246,41.569,61.99,32.978,91.002,1286.297,61.652,115.561,13877.984,7403.924,29.554,29.554,82.962,19.528,0.301,10448.748,10615.784,7108.036,0.271,2242.651,2.482,1.662,11901.373,3270.154,5720.124,16220.1,1.874,8653.446,7.37,4.932,32.590695
105,3015.92102,839184.6288,2516794.247,37.681,50.666,38.623,62.709,1120.227,73.535,133.911,11576,6356.782,19.044,19.044,53.186,14.469,0.284,10492.908,10668.819,6974.679,0.256,2664.531,2.485,1.625,12478.421,2293.852,4561.378,13598.947,1.821,7467.652,5.39,3.294,32.699633
105,3027.306669,839184.6353,2516794.254,44.945,88.98,37.42,140.54,1447.617,52.436,96.055,16748.99,9143.317,39.331,39.331,113.328,29.014,0.288,10537.101,10712.358,7031.947,0.259,2537.037,2.486,1.632,12337.969,5309.371,6980.313,19070.721,1.832,10410.757,10.838,8.354,32.70057
105,3038.675948,839184.6426,2516794.268,44.713,80.431,33.83,127.032,1435.914,53.04,98.966,15910.974,8527.31,38.909,38.909,107.729,26.263,0.299,10580.736,10752.442,7146.615,0.269,2941.418,2.486,1.652,13376.065,4711.697,6884.371,18853.695,1.866,10104.43,9.892,7.351,32.520043
105,3050.031534,839184.6499,2516794.282,43.013,69.852,33.242,106.461,1353.111,57.59,107.794,14833.93,7925.204,33.691,33.691,94.428,22.409,0.3,10624.403,10796.617,7180.116,0.27,2786.281,2.487,1.654,13132.794,3861.453,6225.802,17363.975,1.872,9276.911,8.452,5.925,32.233027
105,3061.373427,839184.6428,2516794.282,38.568,50.23,38.236,62.225,1156.506,70.697,128.986,11091.161,6079.061,19.088,19.088,49.104,14.365,0.285,10668.695,10849.2,7058.588,0.257,2291.335,2.49,1.62,11899.846,2278.359,4802.682,14144.792,1.825,7752.755,5.356,3.268,31.90157
105,3072.703117,839184.6346,2516794.282,38.553,56.204,45.764,66.643,1155.895,70.744,124.7,11153.652,6327.603,17.123,17.123,44.327,15.466,0.263,10712.429,10904.161,6877.776,0.236,1730.732,2.493,1.573,10417.017,2421.413,4798.563,14135.473,1.763,8019.227,5.665,3.508,31.393672
105,3084.021794,839184.6502,2516794.281,39.29,56.35,44.415,68.285,1186.688,68.445,121.356,11104.138,6262.761,17.99,17.99,44.858,15.73,0.267,10756.787,10948.124,6930.034,0.24,1404.987,2.494,1.579,9870.042,2475.426,5008.44,14610.228,1.773,8240.205,5.78,3.599,30.838844
105,3090.664588,839184.6625,2516794.281,40.964,61.564,42.662,80.466,1259.196,63.408,113.306,11940.702,6682.245,21.447,21.447,53.276,17.976,0.272,10782.233,10971.985,6987.191,0.245,1790.583,2.494,1.588,10755.549,2890.6,5521.513,15770.831,1.787,8825.658,6.633,4.295,30.396562
105,3092.204066,839184.6653,2516794.281,38.112,64.252,59.958,68.545,1137.743,72.147,120.434,10805.354,6473.037,12.885,12.885,32.955,16.382,0.22,10788.152,10999.849,6554.24,0.198,1363.409,2.499,1.489,9035.299,2484.038,4677.06,13860.629,1.669,8303.323,5.798,3.613,30.290394
